Serial,Timestamp,UpTime,BytesSent,BytesReceived,PacketsSent,PacketsReceived
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
0CB6D222D562,2021-06-14_12_36_30,32446,36046,39647,43248,46846
